company_name,acc_year,dev_year,dev_lag,incurred_loss,cumulative_paid_loss,bulk_loss,net_ep,ye_1997_reserves
Buckeye Ins Grp,1996,2002,7,673,645,0,1052,1352
Buckeye Ins Grp,1996,2003,8,679,649,0,1052,1352
Buckeye Ins Grp,1996,2004,9,649,649,0,1052,1352
Buckeye Ins Grp,1996,2005,10,649,649,0,1052,1352
Buckeye Ins Grp,1997,1997,1,749,166,463,987,1352
Buckeye Ins Grp,1997,1998,2,696,306,239,987,1352
Buckeye Ins Grp,1997,1999,3,664,442,65,987,1352
Buckeye Ins Grp,1997,2000,4,597,563,0,987,1352
Buckeye Ins Grp,1997,2001,5,617,576,0,987,1352
Buckeye Ins Grp,1997,2002,6,613,589,0,987,1352
Buckeye Ins Grp,1997,2003,7,589,589,0,987,1352
Buckeye Ins Grp,1997,2004,8,589,589,0,987,1352
Buckeye Ins Grp,1997,2005,9,589,589,0,987,1352
Buckeye Ins Grp,1997,2006,10,589,589,0,987,1352
Auto Club Ins Assn,1988,1988,1,202,0,1002,1032,9
Auto Club Ins Assn,1988,1989,2,202,200,0,1032,9
Auto Club Ins Assn,1988,1990,3,202,200,0,1032,9
Auto Club Ins Assn,1988,1991,4,200,200,0,1032,9
Auto Club Ins Assn,1988,1992,5,200,200,0,1032,9
Auto Club Ins Assn,1988,1993,6,200,200,0,1032,9
Auto Club Ins Assn,1988,1994,7,572,571,0,1032,9
Auto Club Ins Assn,1988,1995,8,571,571,0,1032,9
Auto Club Ins Assn,1988,1996,9,571,571,0,1032,9
Auto Club Ins Assn,1988,1997,10,570,570,0,1032,9
Auto Club Ins Assn,1989,1989,1,5,0,0,1175,9
Auto Club Ins Assn,1989,1990,2,97,0,0,1175,9
Auto Club Ins Assn,1989,1991,3,120,0,0,1175,9
Auto Club Ins Assn,1989,1992,4,0,0,0,1175,9
Auto Club Ins Assn,1989,1993,5,0,0,0,1175,9
Auto Club Ins Assn,1989,1994,6,378,378,0,1175,9
Auto Club Ins Assn,1989,1995,7,378,378,0,1175,9
Auto Club Ins Assn,1989,1996,8,378,378,0,1175,9
Auto Club Ins Assn,1989,1997,9,378,378,0,1175,9
Auto Club Ins Assn,1989,1998,10,378,378,0,1175,9
Auto Club Ins Assn,1990,1990,1,256,200,0,1042,9
Auto Club Ins Assn,1990,1991,2,200,200,0,1042,9
Auto Club Ins Assn,1990,1992,3,200,200,0,1042,9
Auto Club Ins Assn,1990,1993,4,200,200,0,1042,9
Auto Club Ins Assn,1990,1994,5,582,582,0,1042,9
Auto Club Ins Assn,1990,1995,6,582,582,0,1042,9
Auto Club Ins Assn,1990,1996,7,582,582,0,1042,9
Auto Club Ins Assn,1990,1997,8,583,583,0,1042,9
Auto Club Ins Assn,1990,1998,9,383,383,0,1042,9
Auto Club Ins Assn,1990,1999,10,383,383,0,1042,9
Auto Club Ins Assn,1991,1991,1,44,0,0,954,9
Auto Club Ins Assn,1991,1992,2,76,0,0,954,9
Auto Club Ins Assn,1991,1993,3,3,0,0,954,9
Auto Club Ins Assn,1991,1994,4,361,358,0,954,9
Auto Club Ins Assn,1991,1995,5,361,358,0,954,9
Auto Club Ins Assn,1991,1996,6,361,358,0,954,9
Auto Club Ins Assn,1991,1997,7,361,357,0,954,9
Auto Club Ins Assn,1991,1998,8,361,357,0,954,9
Auto Club Ins Assn,1991,1999,9,361,357,0,954,9
Auto Club Ins Assn,1991,2000,10,361,357,0,954,9
Auto Club Ins Assn,1992,1992,1,38,0,0,992,9
Auto Club Ins Assn,1992,1993,2,5,0,0,992,9
Auto Club Ins Assn,1992,1994,3,507,508,0,992,9
Auto Club Ins Assn,1992,1995,4,509,508,0,992,9
Auto Club Ins Assn,1992,1996,5,509,508,0,992,9
Auto Club Ins Assn,1992,1997,6,508,506,0,992,9
Auto Club Ins Assn,1992,1998,7,508,506,0,992,9
Auto Club Ins Assn,1992,1999,8,508,506,0,992,9
Auto Club Ins Assn,1992,2000,9,508,506,0,992,9
Auto Club Ins Assn,1992,2001,10,508,507,0,992,9
Auto Club Ins Assn,1993,1993,1,0,0,0,1150,9
Auto Club Ins Assn,1993,1994,2,701,688,0,1150,9
Auto Club Ins Assn,1993,1995,3,701,688,0,1150,9
Auto Club Ins Assn,1993,1996,4,688,688,0,1150,9
Auto Club Ins Assn,1993,1997,5,688,688,0,1150,9
Auto Club Ins Assn,1993,1998,6,688,688,0,1150,9
Auto Club Ins Assn,1993,1999,7,688,688,0,1150,9
Auto Club Ins Assn,1993,2000,8,688,688,0,1150,9
Auto Club Ins Assn,1993,2001,9,689,689,0,1150,9
Auto Club Ins Assn,1993,2002,10,688,688,0,1150,9
Auto Club Ins Assn,1994,1994,1,722,688,34,1199,9
Auto Club Ins Assn,1994,1995,2,722,722,0,1199,9
Auto Club Ins Assn,1994,1996,3,722,722,0,1199,9
Auto Club Ins Assn,1994,1997,4,722,722,0,1199,9
Auto Club Ins Assn,1994,1998,5,722,722,0,1199,9
Auto Club Ins Assn,1994,1999,6,722,722,0,1199,9
Auto Club Ins Assn,1994,2000,7,722,722,0,1199,9
Auto Club Ins Assn,1994,2001,8,722,722,0,1199,9
Auto Club Ins Assn,1994,2002,9,722,722,0,1199,9
Auto Club Ins Assn,1994,2003,10,722,722,0,1199,9
Auto Club Ins Assn,1995,1995,1,753,706,47,1286,9
Auto Club Ins Assn,1995,1996,2,706,706,0,1286,9
Auto Club Ins Assn,1995,1997,3,708,707,0,1286,9
Auto Club Ins Assn,1995,1998,4,708,707,0,1286,9
Auto Club Ins Assn,1995,1999,5,708,707,0,1286,9
Auto Club Ins Assn,1995,2000,6,708,707,0,1286,9
Auto Club Ins Assn,1995,2001,7,707,706,0,1286,9
Auto Club Ins Assn,1995,2002,8,707,706,0,1286,9
Auto Club Ins Assn,1995,2003,9,706,706,0,1286,9
Auto Club Ins Assn,1995,2004,10,706,706,0,1286,9
Auto Club Ins Assn,1996,1996,1,871,840,28,1410,9
Auto Club Ins Assn,1996,1997,2,1042,1010,29,1410,9
Auto Club Ins Assn,1996,1998,3,1039,1010,29,1410,9
Auto Club Ins Assn,1996,1999,4,1041,1041,0,1410,9
Auto Club Ins Assn,1996,2000,5,1041,1041,0,1410,9
Auto Club Ins Assn,1996,2001,6,1040,1040,0,1410,9
Auto Club Ins Assn,1996,2002,7,1039,1039,0,1410,9
Auto Club Ins Assn,1996,2003,8,1039,1039,0,1410,9
Auto Club Ins Assn,1996,2004,9,1039,1039,0,1410,9
Auto Club Ins Assn,1996,2005,10,1039,1039,0,1410,9
Auto Club Ins Assn,1997,1997,1,928,912,16,1590,9
Auto Club Ins Assn,1997,1998,2,940,912,16,1590,9
Auto Club Ins Assn,1997,1999,3,912,912,0,1590,9
Auto Club Ins Assn,1997,2000,4,919,918,0,1590,9
Auto Club Ins Assn,1997,2001,5,927,927,0,1590,9
Auto Club Ins Assn,1997,2002,6,925,923,0,1590,9
Auto Club Ins Assn,1997,2003,7,608,608,0,1590,9
Auto Club Ins Assn,1997,2004,8,941,941,0,1590,9
Auto Club Ins Assn,1997,2005,9,941,941,0,1590,9
Auto Club Ins Assn,1997,2006,10,941,941,0,1590,9
Employers Mut Co Of Des Moines,1988,1988,1,30466,2552,8923,51028,168628
Employers Mut Co Of Des Moines,1988,1989,2,25981,7260,4195,51028,168628
Employers Mut Co Of Des Moines,1988,1990,3,25958,11493,3954,51028,168628
Employers Mut Co Of Des Moines,1988,1991,4,24262,15059,9,51028,168628
Employers Mut Co Of Des Moines,1988,1992,5,22987,16970,0,51028,168628
Employers Mut Co Of Des Moines,1988,1993,6,22157,18468,0,51028,168628
Employers Mut Co Of Des Moines,1988,1994,7,20897,19873,0,51028,168628
Employers Mut Co Of Des Moines,1988,1995,8,21279,20579,0,51028,168628
Employers Mut Co Of Des Moines,1988,1996,9,21733,21565,0,51028,168628
Employers Mut Co Of Des Moines,1988,1997,10,21714,21649,0,51028,168628
Employers Mut Co Of Des Moines,1989,1989,1,35634,3342,11101,52159,168628
Employers Mut Co Of Des Moines,1989,1990,2,33386,7904,7209,52159,168628
Employers Mut Co Of Des Moines,1989,1991,3,36898,16089,4097,52159,168628
Employers Mut Co Of Des Moines,1989,1992,4,32131,22372,1,52159,168628
Employers Mut Co Of Des Moines,1989,1993,5,33884,26139,0,52159,168628
Employers Mut Co Of Des Moines,1989,1994,6,33270,29046,0,52159,168628
Employers Mut Co Of Des Moines,1989,1995,7,32825,30325,0,52159,168628
Employers Mut Co Of Des Moines,1989,1996,8,31973,31301,0,52159,168628
Employers Mut Co Of Des Moines,1989,1997,9,31764,31375,0,52159,168628
Employers Mut Co Of Des Moines,1989,1998,10,31791,31481,0,52159,168628
Employers Mut Co Of Des Moines,1990,1990,1,47665,4336,17252,62781,168628
Employers Mut Co Of Des Moines,1990,1991,2,46642,12537,7265,62781,168628
Employers Mut Co Of Des Moines,1990,1992,3,50198,22030,4639,62781,168628
Employers Mut Co Of Des Moines,1990,1993,4,46833,28636,0,62781,168628
Employers Mut Co Of Des Moines,1990,1994,5,47906,34401,0,62781,168628
Employers Mut Co Of Des Moines,1990,1995,6,44738,37219,0,62781,168628
Employers Mut Co Of Des Moines,1990,1996,7,42216,38590,0,62781,168628
Employers Mut Co Of Des Moines,1990,1997,8,41442,39948,0,62781,168628
Employers Mut Co Of Des Moines,1990,1998,9,41381,40562,0,62781,168628
Employers Mut Co Of Des Moines,1990,1999,10,41697,40817,0,62781,168628
Employers Mut Co Of Des Moines,1991,1991,1,45953,5654,19235,67972,168628
Employers Mut Co Of Des Moines,1991,1992,2,50002,12089,9646,67972,168628
Employers Mut Co Of Des Moines,1991,1993,3,48547,20717,4386,67972,168628
Employers Mut Co Of Des Moines,1991,1994,4,43986,30360,0,67972,168628
Employers Mut Co Of Des Moines,1991,1995,5,41786,34324,0,67972,168628
Employers Mut Co Of Des Moines,1991,1996,6,42287,36371,0,67972,168628
Employers Mut Co Of Des Moines,1991,1997,7,41960,38429,0,67972,168628
Employers Mut Co Of Des Moines,1991,1998,8,41824,40763,0,67972,168628
Employers Mut Co Of Des Moines,1991,1999,9,41812,40928,0,67972,168628
Employers Mut Co Of Des Moines,1991,2000,10,41997,41128,0,67972,168628
Employers Mut Co Of Des Moines,1992,1992,1,49760,4335,19975,71799,168628
Employers Mut Co Of Des Moines,1992,1993,2,51218,11200,10780,71799,168628
Employers Mut Co Of Des Moines,1992,1994,3,53828,19933,7473,71799,168628
Employers Mut Co Of Des Moines,1992,1995,4,46716,27454,3,71799,168628
Employers Mut Co Of Des Moines,1992,1996,5,45916,32801,757,71799,168628
Employers Mut Co Of Des Moines,1992,1997,6,45029,36666,0,71799,168628
Employers Mut Co Of Des Moines,1992,1998,7,43660,38835,0,71799,168628
Employers Mut Co Of Des Moines,1992,1999,8,42308,40188,0,71799,168628
Employers Mut Co Of Des Moines,1992,2000,9,42821,40677,0,71799,168628
Employers Mut Co Of Des Moines,1992,2001,10,42529,41040,0,71799,168628
Employers Mut Co Of Des Moines,1993,1993,1,55602,8166,21471,72705,168628
Employers Mut Co Of Des Moines,1993,1994,2,55436,15780,10584,72705,168628
Employers Mut Co Of Des Moines,1993,1995,3,52489,23977,5864,72705,168628
Employers Mut Co Of Des Moines,1993,1996,4,45994,33239,1511,72705,168628
Employers Mut Co Of Des Moines,1993,1997,5,45697,37738,743,72705,168628
Employers Mut Co Of Des Moines,1993,1998,6,46998,40020,0,72705,168628
Employers Mut Co Of Des Moines,1993,1999,7,48263,42738,0,72705,168628
Employers Mut Co Of Des Moines,1993,2000,8,47338,45194,0,72705,168628
Employers Mut Co Of Des Moines,1993,2001,9,51259,47144,0,72705,168628
Employers Mut Co Of Des Moines,1993,2002,10,51787,48585,0,72705,168628
Employers Mut Co Of Des Moines,1994,1994,1,53668,5668,23060,85368,168628
Employers Mut Co Of Des Moines,1994,1995,2,48582,12522,9914,85368,168628
Employers Mut Co Of Des Moines,1994,1996,3,49785,21657,3027,85368,168628
Employers Mut Co Of Des Moines,1994,1997,4,47422,29942,1487,85368,168628
Employers Mut Co Of Des Moines,1994,1998,5,47262,36473,764,85368,168628
Employers Mut Co Of Des Moines,1994,1999,6,46255,41091,0,85368,168628
Employers Mut Co Of Des Moines,1994,2000,7,49130,43295,0,85368,168628
Employers Mut Co Of Des Moines,1994,2001,8,54071,44445,0,85368,168628
Employers Mut Co Of Des Moines,1994,2002,9,53014,49053,0,85368,168628
Employers Mut Co Of Des Moines,1994,2003,10,52795,50257,0,85368,168628
Employers Mut Co Of Des Moines,1995,1995,1,58241,5324,23096,83311,168628
Employers Mut Co Of Des Moines,1995,1996,2,49145,14432,6876,83311,168628
Employers Mut Co Of Des Moines,1995,1997,3,45956,23602,2973,83311,168628
Employers Mut Co Of Des Moines,1995,1998,4,43078,30734,1528,83311,168628
Employers Mut Co Of Des Moines,1995,1999,5,42418,33598,865,83311,168628
Employers Mut Co Of Des Moines,1995,2000,6,46482,37975,0,83311,168628
Employers Mut Co Of Des Moines,1995,2001,7,47352,40546,0,83311,168628
Employers Mut Co Of Des Moines,1995,2002,8,48133,42733,0,83311,168628
Employers Mut Co Of Des Moines,1995,2003,9,48657,44901,0,83311,168628
Employers Mut Co Of Des Moines,1995,2004,10,48699,46701,0,83311,168628
Employers Mut Co Of Des Moines,1996,1996,1,61248,6582,25811,85708,168628
Employers Mut Co Of Des Moines,1996,1997,2,53021,14592,6692,85708,168628
Employers Mut Co Of Des Moines,1996,1998,3,56145,22053,3059,85708,168628
Employers Mut Co Of Des Moines,1996,1999,4,49683,33349,1729,85708,168628
Employers Mut Co Of Des Moines,1996,2000,5,50078,39605,1076,85708,168628
Employers Mut Co Of Des Moines,1996,2001,6,51261,44331,0,85708,168628
Employers Mut Co Of Des Moines,1996,2002,7,51697,47895,0,85708,168628
Employers Mut Co Of Des Moines,1996,2003,8,53334,49623,0,85708,168628
Employers Mut Co Of Des Moines,1996,2004,9,53934,51088,0,85708,168628
Employers Mut Co Of Des Moines,1996,2005,10,55187,52176,1402,85708,168628
Employers Mut Co Of Des Moines,1997,1997,1,62675,7384,25331,86642,168628
Employers Mut Co Of Des Moines,1997,1998,2,52573,14852,7177,86642,168628
Employers Mut Co Of Des Moines,1997,1999,3,54922,28777,3722,86642,168628
Employers Mut Co Of Des Moines,1997,2000,4,61444,39948,2900,86642,168628
Employers Mut Co Of Des Moines,1997,2001,5,61003,48665,1622,86642,168628
Employers Mut Co Of Des Moines,1997,2002,6,63247,55388,54,86642,168628
Employers Mut Co Of Des Moines,1997,2003,7,65631,60301,30,86642,168628
Employers Mut Co Of Des Moines,1997,2004,8,66124,62208,31,86642,168628
Employers Mut Co Of Des Moines,1997,2005,9,68064,64162,1713,86642,168628
Employers Mut Co Of Des Moines,1997,2006,10,70230,66005,1637,86642,168628
Scpie Indemnity Co,1988,1988,1,1151,0,1151,1258,3937
Scpie Indemnity Co,1988,1989,2,1057,0,1053,1258,3937
Scpie Indemnity Co,1988,1990,3,1242,25,922,1258,3937
Scpie Indemnity Co,1988,1991,4,1039,233,806,1258,3937
Scpie Indemnity Co,1988,1992,5,779,233,546,1258,3937
Scpie Indemnity Co,1988,1993,6,611,234,378,1258,3937
Scpie Indemnity Co,1988,1994,7,521,234,288,1258,3937
Scpie Indemnity Co,1988,1995,8,490,233,257,1258,3937
Scpie Indemnity Co,1988,1996,9,491,234,257,1258,3937
Scpie Indemnity Co,1988,1997,10,446,234,212,1258,3937
Scpie Indemnity Co,1989,1989,1,1131,0,1132,1005,3937
Scpie Indemnity Co,1989,1990,2,1046,0,1029,1005,3937
Scpie Indemnity Co,1989,1991,3,926,5,901,1005,3937
Scpie Indemnity Co,1989,1992,4,630,8,622,1005,3937
Scpie Indemnity Co,1989,1993,5,685,260,425,1005,3937
Scpie Indemnity Co,1989,1994,6,578,260,318,1005,3937
Scpie Indemnity Co,1989,1995,7,541,260,281,1005,3937
Scpie Indemnity Co,1989,1996,8,532,260,272,1005,3937
Scpie Indemnity Co,1989,1997,9,484,260,224,1005,3937
Scpie Indemnity Co,1989,1998,10,395,260,135,1005,3937
Scpie Indemnity Co,1990,1990,1,1080,2,1071,1003,3937
Scpie Indemnity Co,1990,1991,2,1183,13,973,1003,3937
Scpie Indemnity Co,1990,1992,3,731,27,693,1003,3937
Scpie Indemnity Co,1990,1993,4,560,49,474,1003,3937
Scpie Indemnity Co,1990,1994,5,432,59,352,1003,3937
Scpie Indemnity Co,1990,1995,6,373,72,301,1003,3937
Scpie Indemnity Co,1990,1996,7,356,72,284,1003,3937
Scpie Indemnity Co,1990,1997,8,303,72,231,1003,3937
Scpie Indemnity Co,1990,1998,9,210,72,138,1003,3937
Scpie Indemnity Co,1990,1999,10,201,72,129,1003,3937
Scpie Indemnity Co,1991,1991,1,1044,0,1044,1046,3937
Scpie Indemnity Co,1991,1992,2,808,0,808,1046,3937
Scpie Indemnity Co,1991,1993,3,561,0,561,1046,3937
Scpie Indemnity Co,1991,1994,4,404,0,404,1046,3937
Scpie Indemnity Co,1991,1995,5,342,0,342,1046,3937
Scpie Indemnity Co,1991,1996,6,307,0,307,1046,3937
Scpie Indemnity Co,1991,1997,7,248,0,248,1046,3937
